pair_id,Sentence_A,Sentence_B,rating_anticonic_causal,rating_iconic_causal,rating_anticonic_temporal,rating_iconic_temporal,human_preferred_connective,human_preferred_connective_desc,additional_dimension
0,The man turned up the music late at night.,The man wanted to listen to the new album of his favourite rock band.,7.0,2.4,6.533333333333333,5.2,because,anticonic_caus,socially_challenging
0,The man wanted to listen to the new album of his favourite rock band.,The man turned up the music late at night.,2.7333333333333334,5.866666666666666,3.533333333333333,5.466666666666667,so,iconic_caus,socially_challenging
1,Sarah does not like to eat junk food.,Sarah is likely to throw away a bag of chips offered by her friend.,3.2,8.0,2.2,4.333333333333333,so,iconic_caus,socially_challenging
1,Sarah is likely to throw away a bag of chips offered by her friend.,Sarah does not like to eat junk food.,8.466666666666667,2.6666666666666665,2.1333333333333333,3.866666666666666,because,anticonic_caus,socially_challenging
2,The athlete was doped.,The athlete won the competition.,4.0,7.733333333333333,3.0,7.733333333333333,so,iconic_caus,socially_challenging
2,The athlete won the competition.,The athlete was doped.,7.0,2.1333333333333333,4.866666666666666,3.533333333333333,because,anticonic_caus,socially_challenging
3,John copied the test of the best student.,John got an A on the test.,2.533333333333333,8.533333333333333,2.8666666666666667,8.333333333333334,so,iconic_caus,socially_challenging
3,John got an A on the test.,John copied the test of the best student.,8.666666666666666,1.933333333333333,9.066666666666666,2.4,after,anticonic_temp,socially_challenging
4,The girl had not done her homework.,The girl skipped school.,6.266666666666667,8.133333333333333,5.8,5.333333333333333,so,iconic_caus,socially_challenging
4,The girl skipped school.,The girl had not done her homework.,9.066666666666666,4.933333333333334,5.466666666666667,3.066666666666667,because,anticonic_caus,socially_challenging
5,Mike stole a radio controlled car from a toy shop.,Mike wanted to have a radio controlled car.,8.8,3.933333333333333,5.4,2.333333333333333,because,anticonic_caus,socially_challenging
5,Mike wanted to have a radio controlled car.,Mike stole a radio controlled car from a toy shop.,3.2666666666666666,8.266666666666667,2.6666666666666665,6.0,so,iconic_caus,socially_challenging
6,Susan became a drug dealer.,Susan wanted to make fast money.,8.533333333333333,2.4,7.133333333333334,1.6666666666666667,because,anticonic_caus,socially_challenging
6,Susan wanted to make fast money.,Susan became a drug dealer.,2.466666666666667,9.266666666666667,4.466666666666667,7.266666666666667,so,iconic_caus,socially_challenging
7,Kevin has a lot of debts.,Kevin spends lots of money on gambling.,9.066666666666666,3.333333333333333,6.466666666666667,3.866666666666666,because,anticonic_caus,socially_challenging
7,Kevin spends lots of money on gambling.,Kevin has a lot of debts.,4.066666666666666,8.466666666666667,4.333333333333333,4.8,so,iconic_caus,socially_challenging
8,Whale meat is sold at a high price.,Whales are hunted.,6.666666666666667,8.333333333333334,5.533333333333333,3.333333333333333,so,iconic_caus,socially_challenging
8,Whales are hunted.,Whale meat is sold at a high price.,7.6,5.333333333333333,4.666666666666667,7.933333333333334,then,iconic_temp,socially_challenging
9,Mark is a Jehovah's Witness.,Mark refuses transfusions even if he is sick.,3.8,9.666666666666666,2.466666666666667,3.4,so,iconic_caus,socially_challenging
9,Mark refuses transfusions even if he is sick.,Mark is a Jehovah's Witness.,8.333333333333334,3.866666666666666,4.0,3.4,because,anticonic_caus,socially_challenging
10,Tom has gained weight in the last year.,"Tom's friends call him ""fatty"".",3.466666666666667,9.533333333333331,4.466666666666667,5.066666666666666,so,iconic_caus,socially_challenging
10,"Tom's friends call him ""fatty"".",Tom has gained weight in the last year.,9.266666666666667,2.6666666666666665,9.066666666666666,1.4,because,anticonic_caus,socially_challenging
11,Cindy can finally book a vacation around the world.,Cindy cheated to win the lottery.,6.666666666666667,2.466666666666667,7.866666666666666,1.4,after,anticonic_temp,socially_challenging
11,Cindy cheated to win the lottery.,Cindy can finally book a vacation around the world.,1.6666666666666667,7.2,4.466666666666667,5.066666666666666,so,iconic_caus,socially_challenging
12,Fred believes that women should take care of the house.,Fred does not allow his wife to work as CEO.,5.0,9.066666666666666,2.8,3.6666666666666665,so,iconic_caus,socially_challenging
12,Fred does not allow his wife to work as CEO.,Fred believes that women should take care of the house.,9.6,4.8,2.6666666666666665,2.2,because,anticonic_caus,socially_challenging
13,Brad runs the red light.,Brad wanted to go home to watch the football match.,9.133333333333333,2.0,3.333333333333333,4.066666666666666,because,anticonic_caus,socially_challenging
13,Brad wanted to go home to watch the football match.,Brad runs the red light.,1.4666666666666666,6.533333333333333,2.8666666666666667,5.2,so,iconic_caus,socially_challenging
14,Luca's father forced him obey to the precepts of his religion.,Luca's father is very religious.,8.333333333333334,4.733333333333333,2.6666666666666665,2.6,because,anticonic_caus,socially_challenging
14,Luca's father is very religious.,Luca's father forced him obey to the precepts of his religion.,5.533333333333333,9.2,2.466666666666667,6.8,so,iconic_caus,socially_challenging
15,Bob believes in the tooth fairy.,Bob is very childish.,7.8,6.4,1.8,3.2666666666666666,because,anticonic_caus,socially_challenging
15,Bob is very childish.,Bob believes in the tooth fairy.,7.933333333333334,8.866666666666667,2.333333333333333,2.8,so,iconic_caus,socially_challenging
16,Gary decided to copy the History essay rather than write it by himself.,Gary does not like to study History.,9.266666666666667,4.466666666666667,2.333333333333333,2.333333333333333,because,anticonic_caus,socially_challenging
16,Gary does not like to study History.,Gary decided to copy the History essay rather than write it by himself.,2.066666666666667,8.2,3.933333333333333,4.333333333333333,so,iconic_caus,socially_challenging
17,Eric eats twenty chocolate bars.,Eric will become fat.,1.2,8.066666666666666,4.733333333333333,6.2,so,iconic_caus,socially_challenging
17,Eric will become fat.,Eric eats twenty chocolate bars.,9.066666666666666,2.066666666666667,6.733333333333333,1.6666666666666667,because,anticonic_caus,socially_challenging
18,Kelly wants to have children.,The company manager did not hire Kelly.,1.1333333333333333,8.4,2.8,4.0,so,iconic_caus,socially_challenging
18,The company manager did not hire Kelly.,Kelly wants to have children.,8.333333333333334,2.533333333333333,3.733333333333333,1.6,because,anticonic_caus,socially_challenging
19,Morgan is a bad parent.,Morgan scolds his child.,8.4,6.8,4.333333333333333,2.4,because,anticonic_caus,socially_challenging
19,Morgan scolds his child.,Morgan is a bad parent.,8.133333333333333,7.066666666666666,3.933333333333333,2.1333333333333333,because,anticonic_caus,socially_challenging
20,Melanie did not have her children vaccinated.,Melanie thinks vaccines are toxic.,9.866666666666667,4.133333333333334,5.2,1.6,because,anticonic_caus,socially_challenging
20,Melanie thinks vaccines are toxic.,Melanie did not have her children vaccinated.,3.333333333333333,8.866666666666667,4.8,7.0,so,iconic_caus,socially_challenging
21,Mark has a lot of sex.,Mark is a prostitute.,8.133333333333333,2.333333333333333,2.066666666666667,1.2,because,anticonic_caus,socially_challenging
21,Mark is a prostitute.,Mark has a lot of sex.,3.333333333333333,8.733333333333333,2.933333333333333,5.6,so,iconic_caus,socially_challenging
22,Jeff decided to drink a glass of whiskey instead of four.,Jeff is the designated driver tonight.,8.0,7.466666666666667,2.466666666666667,3.2666666666666666,because,anticonic_caus,socially_challenging
22,Jeff is the designated driver tonight.,Jeff decided to drink a glass of whiskey instead of four.,3.866666666666666,6.4,4.733333333333333,3.1333333333333333,so,iconic_caus,socially_challenging
23,Karen is a transgender woman.,Karen's parents do not like her.,1.5333333333333334,7.4,2.466666666666667,2.2,so,iconic_caus,socially_challenging
23,Karen's parents do not like her.,Karen is a transgender woman.,8.666666666666666,1.4666666666666666,2.8666666666666667,1.933333333333333,because,anticonic_caus,socially_challenging
24,Mike does not help patients have abortions.,Mike is an objecting doctor.,7.733333333333333,6.733333333333333,2.2,4.333333333333333,because,anticonic_caus,socially_challenging
24,Mike is an objecting doctor.,Mike does not help patients have abortions.,7.266666666666667,8.2,2.533333333333333,3.4,so,iconic_caus,socially_challenging
25,Luca and Mara broke up.,Mara did not want to have children.,9.4,3.533333333333333,8.066666666666666,5.666666666666667,because,anticonic_caus,socially_challenging
25,Mara did not want to have children.,Luca and Mara broke up.,5.333333333333333,8.533333333333333,4.666666666666667,5.266666666666667,so,iconic_caus,socially_challenging
26,Lara did not tell her parents she was lesbian.,Lara's parents are homophobic.,9.4,1.933333333333333,4.333333333333333,2.6,because,anticonic_caus,socially_challenging
26,Lara's parents are homophobic.,Lara did not tell her parents she was lesbian.,2.533333333333333,9.6,3.2,4.2,so,iconic_caus,socially_challenging
27,Karen did not like the cut the hairdresser gave her.,Karen insulted the hairdresser and refused to pay him.,3.6,9.533333333333331,4.333333333333333,7.6,so,iconic_caus,socially_challenging
27,Karen insulted the hairdresser and refused to pay him.,Karen did not like the cut the hairdresser gave her.,9.066666666666666,5.133333333333334,9.666666666666666,2.2666666666666666,after,anticonic_temp,socially_challenging
28,The boy had been in prison.,The shop owner refused to hire the boy.,2.333333333333333,9.133333333333333,2.0,6.466666666666667,so,iconic_caus,socially_challenging
28,The shop owner refused to hire the boy.,The boy had been in prison.,9.933333333333334,1.8666666666666667,8.733333333333333,2.2666666666666666,because,anticonic_caus,socially_challenging
29,The hunter is happy.,The hunter killed many animals.,8.8,5.0,7.4,4.4,because,anticonic_caus,socially_challenging
29,The hunter killed many animals.,The hunter is happy.,2.2666666666666666,8.333333333333334,4.266666666666667,4.666666666666667,so,iconic_caus,socially_challenging
30,Edward attempted to kill his wife.,Edward's wife cheated on him.,9.066666666666666,3.533333333333333,7.933333333333334,4.066666666666666,because,anticonic_caus,socially_challenging
30,Edward's wife cheated on him.,Edward attempted to kill his wife.,4.533333333333333,8.0,5.066666666666666,9.0,then,iconic_temp,socially_challenging
31,John buys cannabis from a pusher.,John is addicted to cannabis.,9.2,4.2,5.4,4.533333333333333,because,anticonic_caus,socially_challenging
31,John is addicted to cannabis.,John buys cannabis from a pusher.,6.266666666666667,8.266666666666667,4.066666666666666,3.6,so,iconic_caus,socially_challenging
32,The girl decided to buy drugs.,The girl is depressed.,8.666666666666666,4.533333333333333,5.666666666666667,2.8,because,anticonic_caus,socially_challenging
32,The girl is depressed.,The girl decided to buy drugs.,5.0,8.333333333333334,3.6666666666666665,5.266666666666667,so,iconic_caus,socially_challenging
33,Millie has become addicted to alcohol.,Millie's depression has never been treated.,8.133333333333333,4.4,6.6,2.6666666666666665,because,anticonic_caus,socially_challenging
33,Millie's depression has never been treated.,Millie has become addicted to alcohol.,6.066666666666666,7.666666666666667,6.4,5.8,so,iconic_caus,socially_challenging
34,John is a serial killer.,John likes to kill people.,8.8,7.533333333333333,2.2666666666666666,3.333333333333333,because,anticonic_caus,socially_challenging
34,John likes to kill people.,John is a serial killer.,9.466666666666669,8.066666666666666,2.6666666666666665,5.133333333333334,because,anticonic_caus,socially_challenging
35,John sells amphetamines.,People who want amphetamines call John.,4.266666666666667,9.0,4.8,7.2,so,iconic_caus,socially_challenging
35,People who want amphetamines call John.,John sells amphetamines.,8.6,5.933333333333334,4.133333333333334,6.866666666666666,because,anticonic_caus,socially_challenging
36,Luca sets fire to Marco's shop.,Marco did not pay Luca the money he owed him.,9.533333333333331,7.533333333333333,6.533333333333333,4.2,because,anticonic_caus,socially_challenging
36,Marco did not pay Luca the money he owed him.,Luca sets fire to Marco's shop.,7.4,9.466666666666669,5.933333333333334,6.933333333333334,so,iconic_caus,socially_challenging
37,Albert thinks Mark is not a real man.,Mark is a transgender man.,8.733333333333333,3.333333333333333,2.466666666666667,2.933333333333333,because,anticonic_caus,socially_challenging
37,Mark is a transgender man.,Albert thinks Mark is not a real man.,1.933333333333333,8.066666666666666,2.8,3.866666666666666,so,iconic_caus,socially_challenging
38,Carmen abandoned the dog on the street.,Carmen did not know where to leave the dog during the holidays.,8.533333333333333,2.8666666666666667,5.6,2.066666666666667,because,anticonic_caus,socially_challenging
38,Carmen did not know where to leave the dog during the holidays.,Carmen abandoned the dog on the street.,2.0,8.333333333333334,2.2666666666666666,5.8,so,iconic_caus,socially_challenging
39,Mary's family decided to sell her as a child bride.,Mary's family is very poor.,9.6,2.6666666666666665,4.533333333333333,3.933333333333333,because,anticonic_caus,socially_challenging
39,Mary's family is very poor.,Mary's family decided to sell her as a child bride.,3.0,9.266666666666667,2.533333333333333,4.6,so,iconic_caus,socially_challenging
40,Brian bribed the director to get a better job.,Brian really wanted a better job.,7.733333333333333,4.533333333333333,6.066666666666666,2.6,because,anticonic_caus,socially_challenging
40,Brian really wanted a better job.,Brian bribed the director to get a better job.,3.533333333333333,9.266666666666667,3.466666666666667,6.8,so,iconic_caus,socially_challenging
41,Bob believes in Santa Claus.,Bob is gullible.,8.733333333333333,7.466666666666667,2.6,3.733333333333333,because,anticonic_caus,socially_challenging
41,Bob is gullible.,Bob believes in Santa Claus.,9.4,8.466666666666667,3.0,2.2,because,anticonic_caus,socially_challenging
42,Alfredo does not want Muslim immigrants to come to Italy.,Alfredo thinks that Muslims are terrorists.,9.0,2.933333333333333,4.866666666666666,3.933333333333333,because,anticonic_caus,socially_challenging
42,Alfredo thinks that Muslims are terrorists.,Alfredo does not want Muslim immigrants to come to Italy.,2.8,9.6,3.6,5.133333333333334,so,iconic_caus,socially_challenging
43,Kate got pregnant but does not feel ready to have a baby.,Kate has decided to have an abortion.,2.933333333333333,8.133333333333333,3.4,6.666666666666667,so,iconic_caus,socially_challenging
43,Kate has decided to have an abortion.,Kate got pregnant but does not feel ready to have a baby.,9.733333333333333,3.333333333333333,7.8,2.8666666666666667,because,anticonic_caus,socially_challenging
44,Brian got rich by cheating at the casino.,Brian has decided to buy a new car.,2.466666666666667,8.8,5.466666666666667,6.333333333333333,so,iconic_caus,socially_challenging
44,Brian has decided to buy a new car.,Brian got rich by cheating at the casino.,8.533333333333333,2.466666666666667,8.0,2.6666666666666665,because,anticonic_caus,socially_challenging
45,Jenny has decided to eat only one piece of fruit as a meal.,Jenny wants to look like a model.,8.866666666666667,3.933333333333333,4.933333333333334,2.2,because,anticonic_caus,socially_challenging
45,Jenny wants to look like a model.,Jenny has decided to eat only one piece of fruit as a meal.,2.7333333333333334,9.4,3.466666666666667,4.933333333333334,so,iconic_caus,socially_challenging
46,Jenny is the shortest among her friends.,"Jenny's friends call her ""midget"".",2.0,9.133333333333333,2.7333333333333334,4.933333333333334,so,iconic_caus,socially_challenging
46,"Jenny's friends call her ""midget"".",Jenny is the shortest among her friends.,9.6,5.066666666666666,3.0,1.3333333333333333,because,anticonic_caus,socially_challenging
47,Luke loves playing video games.,Luke's girlfriend thinks he is childish.,1.4,8.6,1.8,2.933333333333333,so,iconic_caus,socially_challenging
47,Luke's girlfriend thinks he is childish.,Luke loves playing video games.,9.133333333333333,2.1333333333333333,4.533333333333333,2.6666666666666665,because,anticonic_caus,socially_challenging
48,Alfred has not found a girl who wants to date him.,Alfred hates all women.,6.466666666666667,7.066666666666666,3.6666666666666665,2.933333333333333,so,iconic_caus,socially_challenging
48,Alfred hates all women.,Alfred has not found a girl who wants to date him.,8.2,7.0,4.8,4.666666666666667,because,anticonic_caus,socially_challenging
49,Frank punched Kevin.,Kevin stole Frank's toy.,9.4,7.8,9.266666666666667,8.466666666666667,because,anticonic_caus,socially_challenging
49,Kevin stole Frank's toy.,Frank punched Kevin.,8.0,8.866666666666667,7.6,9.333333333333334,then,iconic_temp,socially_challenging
50,Frank is afraid that immigrants will steal jobs.,Frank wants to block immigration.,3.6666666666666665,8.533333333333333,2.8,4.466666666666667,so,iconic_caus,socially_challenging
50,Frank wants to block immigration.,Frank is afraid that immigrants will steal jobs.,9.866666666666667,4.533333333333333,4.6,2.533333333333333,because,anticonic_caus,socially_challenging
51,Luke does not want to pay taxes.,Luke transferred his money to an offshore bank account.,4.866666666666666,9.666666666666666,4.0,5.066666666666666,so,iconic_caus,socially_challenging
51,Luke transferred his money to an offshore bank account.,Luke does not want to pay taxes.,9.733333333333333,5.733333333333333,4.866666666666666,2.933333333333333,because,anticonic_caus,socially_challenging
52,Karen does not want to go to work today.,Karen feigned illness to her employer.,5.066666666666666,8.933333333333334,5.866666666666666,6.6,so,iconic_caus,socially_challenging
52,Karen feigned illness to her employer.,Karen does not want to go to work today.,9.466666666666669,6.066666666666666,2.933333333333333,2.8666666666666667,because,anticonic_caus,socially_challenging
53,Gianni feels stoned.,Gianni took drugs.,9.133333333333333,1.1333333333333333,8.333333333333334,1.4,because,anticonic_caus,socially_challenging
53,Gianni took drugs.,Gianni feels stoned.,3.1333333333333333,9.733333333333333,4.6,8.866666666666667,so,iconic_caus,socially_challenging
54,"In poor countries, people die very young.","In poor countries, there are few medicines.",9.133333333333333,2.933333333333333,1.4666666666666666,2.6666666666666665,because,anticonic_caus,socially_challenging
54,"In poor countries, there are few medicines.","In poor countries, people die very young.",4.666666666666667,9.533333333333331,3.333333333333333,3.6,so,iconic_caus,socially_challenging
55,Emma needed a kidney transplant.,Emma paid a poor man to have his kidney.,2.2666666666666666,8.666666666666666,3.933333333333333,5.8,so,iconic_caus,socially_challenging
55,Emma paid a poor man to have his kidney.,Emma needed a kidney transplant.,8.933333333333334,2.7333333333333334,5.933333333333334,4.666666666666667,because,anticonic_caus,socially_challenging
56,The terrorists asked a woman to make herself explode.,The terrorists planned a suicide attack.,8.0,4.866666666666666,5.866666666666666,3.733333333333333,because,anticonic_caus,socially_challenging
56,The terrorists planned a suicide attack.,The terrorists asked a woman to make herself explode.,5.466666666666667,6.8,3.466666666666667,6.4,so,iconic_caus,socially_challenging
57,Alex changes his smartphone every three months.,Alex is rich.,8.866666666666667,6.2,2.0,3.466666666666667,because,anticonic_caus,socially_challenging
57,Alex is rich.,Alex changes his smartphone every three months.,3.466666666666667,9.266666666666667,2.2,4.0,so,iconic_caus,socially_challenging
58,The referee whistled for the foul.,The ultras insult the referee.,4.066666666666666,7.0,5.4,5.533333333333333,so,iconic_caus,socially_challenging
58,The ultras insult the referee.,The referee whistled for the foul.,7.866666666666666,6.133333333333334,8.6,7.0,after,anticonic_temp,socially_challenging
59,The boxing player needed money.,The player fixed the boxing match.,4.133333333333334,8.866666666666667,3.933333333333333,5.8,so,iconic_caus,socially_challenging
59,The player fixed the boxing match.,The boxing player needed money.,8.2,2.8,5.066666666666666,2.533333333333333,because,anticonic_caus,socially_challenging
60,Karl did not have money for lunch.,Karl stole a sandwich from the supermarket.,1.8666666666666667,9.4,4.6,6.333333333333333,so,iconic_caus,socially_challenging
60,Karl stole a sandwich from the supermarket.,Karl did not have money for lunch.,9.0,3.2666666666666666,4.6,2.7333333333333334,because,anticonic_caus,socially_challenging
61,Karl does not do his homework.,Karl forces his classmate to pass him the homework every day.,6.733333333333333,9.066666666666666,4.533333333333333,7.666666666666667,so,iconic_caus,socially_challenging
61,Karl forces his classmate to pass him the homework every day.,Karl does not do his homework.,7.266666666666667,4.866666666666666,4.933333333333334,3.466666666666667,because,anticonic_caus,socially_challenging
62,Mike is bullied at school.,Mike is fat.,8.666666666666666,1.8666666666666667,1.6666666666666667,1.7333333333333334,because,anticonic_caus,socially_challenging
62,Mike is fat.,Mike is bullied at school.,2.533333333333333,7.2,2.1333333333333333,3.933333333333333,so,iconic_caus,socially_challenging
63,Kevin does not like dogs.,Kevin throws rocks at dogs when he sees them.,3.6666666666666665,8.266666666666667,2.8,2.933333333333333,so,iconic_caus,socially_challenging
63,Kevin throws rocks at dogs when he sees them.,Kevin does not like dogs.,9.2,6.666666666666667,2.7333333333333334,3.6,because,anticonic_caus,socially_challenging
64,Mark got Lucy pregnant but he does not want a baby.,Mark will not legitimize Lucy's child.,2.933333333333333,8.2,3.6666666666666665,3.066666666666667,so,iconic_caus,socially_challenging
64,Mark will not legitimize Lucy's child.,Mark got Lucy pregnant but he does not want a baby.,7.6,4.066666666666666,6.066666666666666,1.6666666666666667,because,anticonic_caus,socially_challenging
65,The student felt anxious to take the exam.,The student took drugs to calm down.,3.466666666666667,8.933333333333334,4.8,7.4,so,iconic_caus,socially_challenging
65,The student took drugs to calm down.,The student felt anxious to take the exam.,9.133333333333333,1.7333333333333334,7.533333333333333,4.266666666666667,because,anticonic_caus,socially_challenging
66,Karen is envious of Silvia's boyfriend.,Karen tried to steal Silvia's boyfriend.,4.466666666666667,7.933333333333334,3.4,6.066666666666666,so,iconic_caus,socially_challenging
66,Karen tried to steal Silvia's boyfriend.,Karen is envious of Silvia's boyfriend.,6.8,3.933333333333333,3.4,2.333333333333333,because,anticonic_caus,socially_challenging
67,Kevin drinks to forget.,Kevin was left by his wife.,8.333333333333334,4.866666666666666,6.533333333333333,3.4,because,anticonic_caus,socially_challenging
67,Kevin was left by his wife.,Kevin drinks to forget.,5.8,8.266666666666667,4.6,6.066666666666666,so,iconic_caus,socially_challenging
68,Elena does not have a regular employment contract.,Elena is forced by her boss to work more hours than she should.,6.533333333333333,7.733333333333333,2.8666666666666667,4.866666666666666,so,iconic_caus,socially_challenging
68,Elena is forced by her boss to work more hours than she should.,Elena does not have a regular employment contract.,7.8,5.6,4.066666666666666,2.0,because,anticonic_caus,socially_challenging
69,A thief entered Michele's house.,Michele shot the thief.,1.4,9.8,2.2666666666666666,8.533333333333333,so,iconic_caus,socially_challenging
69,Michele shot the thief.,A thief entered Michele's house.,8.333333333333334,1.6666666666666667,8.6,1.7333333333333334,after,anticonic_temp,socially_challenging
